Name;WHO Region;Cases - cumulative total;Cases - cumulative total per 100000 population;Cases - newly reported in last 7 days;Cases - newly reported in last 7 days per 100000 population;Cases - newly reported in last 24 hours;Deaths - cumulative total;Deaths - cumulative total per 100000 population;Deaths - newly reported in last 7 days;Deaths - newly reported in last 7 days per 100000 population;Deaths - newly reported in last 24 hours;
Nigeria;Africa;183444;88.99;4326;02.Jan;357;2229;01.Aug;35;0.02;6;
Kyrgyzstan;Europe;172937;2650.7;2584;39.61;269;2462;37.74;42;0.64;5;
North Macedonia;Europe;163452;7845.52;4771;229;995;5574;267.55;61;Feb.93;14;
Puerto Rico;Americas;159187;5564.32;6348;221.89;362;2678;93.61;58;02.Mar;11;
Afghanistan;Eastern Mediterranean;152363;391.39;1072;Feb.75;120;7043;18.Sep;65;0.17;12;
Uzbekistan;Europe;145615;435.07;6330;18.91;851;994;Feb.97;46;0.14;7;
Norway;Europe;145012;2701.63;3683;68.62;534;810;15.Sep;5;0.09;1;
Botswana;Africa;142380;6054.53;11609;493.66;0;2043;86.88;211;Aug.97;0;
Latvia;Europe;140325;7355.81;738;38.69;154;2565;134.46;4;0.21;2;
Mozambique;Africa;140071;448.15;5728;18.33;1033;1748;May.59;107;0.34;17;
Estonia;Europe;137800;10368.89;1944;146.28;286;1281;96.39;2;0.15;0;
Albania;Europe;136598;4746.61;2397;83.29;451;2468;85.76;8;0.28;2;
Namibia;Africa;122699;4828.95;1192;46.91;154;3288;129.4;84;Mar.31;3;
China;Western Pacific;122482;Aug.32;522;0.04;49;5669;0.39;7;0;0;
Zimbabwe;Africa;121046;814.42;3788;25.49;514;4156;27.96;206;Jan.39;18;
Finland;Europe;119320;2159.52;5039;91.2;673;1006;18.21;1;0.02;0;
Kosovo[1];Europe;118709;6610.86;7996;445.29;1765;2281;127.03;18;1;5;
Ghana;Africa;112378;361.66;3701;Nov.91;1146;945;03.Apr;65;0.21;15;
Cyprus;Europe;109665;12349.59;2664;300;412;464;52.25;17;Jan.91;3;
Montenegro;Europe;107041;17043.06;2774;441.68;548;1646;262.08;10;Jan.59;2;
Uganda;Africa;97124;212.33;1169;Feb.56;0;2893;Jun.32;81;0.18;0;
El Salvador;Americas;90129;1389.55;1758;27.Jan;0;2804;43.23;62;0.96;10;
Cambodia;Western Pacific;86597;517.96;3699;22.Dec;556;1718;Oct.28;116;0.69;14;
Cameroon;Africa;82454;310.61;0;0;0;1338;05.Apr;0;0;0;
Rwanda;Africa;80704;623.09;3459;26.71;557;977;Jul.54;66;0.51;8;
Maldives;South-East Asia;79419;14692.42;729;134.86;0;222;41.07;0;0;0;
Luxembourg;Europe;74690;11929.25;253;40.41;0;828;132.25;3;0.48;0;
Senegal;Africa;71002;424.05;2654;15.85;148;1614;Sep.64;88;0.53;0;
Singapore;Western Pacific;66281;1132.94;391;Jun.68;56;45;0.77;3;0.05;1;
Jamaica;Americas;59088;1995.43;3632;122.65;630;1320;44.58;79;Feb.67;9;
Malawi;Africa;58465;305.62;1891;Sep.89;244;1998;Oct.44;124;0.65;15;
Democratic Republic of the Congo;Africa;53501;59.74;1209;Jan.35;155;1050;Jan.17;2;0;0;
Côte d’Ivoire;Africa;52583;199.34;1184;Apr.49;340;365;Jan.38;18;0.07;2;
Réunion;Africa;46754;5222.09;2919;326.03;0;310;34.62;12;Jan.34;0;
Angola;Africa;44964;136.81;1074;Mar.27;233;1118;03.Apr;61;0.19;15;
Madagascar;Africa;42819;154.63;32;0.12;0;954;Mar.45;6;0.02;0;
Trinidad and Tobago;Americas;41955;2997.88;1594;113.9;89;1188;84.89;49;03.May;8;
Fiji;Western Pacific;41177;4593.37;3331;371.58;590;405;45.18;78;08.Jul;11;
Australia;Western Pacific;40097;157.24;3093;Dec.13;498;967;Mar.79;26;0.1;2;
Sudan;Eastern Mediterranean;37616;85.78;88;0.2;0;2784;Jun.35;4;0.01;0;
Eswatini;Africa;37261;3211.7;4463;384.69;747;951;81.97;62;May.34;9;
Malta;Europe;35434;6886.22;394;76.57;54;433;84.15;4;0.78;2;
Guadeloupe;Americas;35283;8818.02;8512;2127.34;0;346;86.47;55;13.75;0;
Cabo Verde;Africa;34445;6195.29;333;59.89;38;300;53.96;2;0.36;0;
French Polynesia;Western Pacific;32705;11642.6;7728;2751.08;2164;224;79.74;48;17.Sep;13;
French Guiana;Americas;32426;10856.36;1150;385.02;246;201;67.3;6;02.Jan;1;
Martinique;Americas;32002;8527.84;4119;1097.62;517;243;64.75;59;15.72;19;
Mauritania;Africa;30635;658.87;1911;41.1;281;647;13.92;31;0.67;2;
Guinea;Africa;28255;215.15;944;Jul.19;137;293;Feb.23;27;0.21;1;
Suriname;Americas;26641;4541.35;595;101.43;48;685;116.77;18;03.Jul;2;
Syrian Arab Republic;Eastern Mediterranean;26479;151.3;343;Jan.96;70;1942;11.Jan;18;0.1;2;
Gabon;Africa;25607;1150.5;120;May.39;0;165;Jul.41;0;0;0;
Guyana;Americas;23575;2997.26;583;74.12;14;578;73.49;17;Feb.16;4;
Haiti;Americas;20556;180.28;0;0;0;576;05.May;0;0;0;
Mayotte;Africa;19625;7193.52;79;28.96;11;175;64.15;0;0;0;
Seychelles;Africa;19272;19595.92;500;508.4;48;98;99.65;7;07.Dec;0;
Togo;Africa;18359;221.76;1255;15.16;273;170;02.May;9;0.11;2;
Papua New Guinea;Western Pacific;17844;199.44;37;0.41;12;192;Feb.15;0;0;0;
Bahamas;Americas;16668;4238.59;753;191.48;0;313;79.59;5;Jan.27;0;
Tajikistan;Europe;16623;174.29;361;Mar.79;0;125;Jan.31;1;0.01;0;
Somalia;Eastern Mediterranean;16399;103.18;360;Feb.27;0;892;May.61;29;0.18;0;
Belize;Americas;15010;3774.89;511;128.51;163;344;86.51;4;01.Jan;0;
Andorra;Europe;14960;19361.94;87;112.6;6;129;166.96;0;0;0;
Mali;Africa;14702;72.6;49;0.24;4;535;Feb.64;1;0;0;
Curaçao;Americas;14602;8898.61;465;283.38;32;134;81.66;2;Jan.22;1;
Lesotho;Africa;14352;669.95;507;23.67;0;399;18.63;8;0.37;0;
Burkina Faso;Africa;13677;65.43;45;0.22;0;170;0.81;0;0;0;
Aruba;Americas;13406;12556.43;877;821.42;56;121;113.33;10;Sep.37;2;
Congo;Africa;13398;242.8;105;01.Sep;0;179;Mar.24;0;0;0;
Timor-Leste;South-East Asia;12929;980.62;1059;80.32;0;38;Feb.88;9;0.68;0;
Djibouti;Eastern Mediterranean;11689;1183.1;26;Feb.63;6;156;15.79;0;0;0;
Central African Republic;Africa;11251;232.95;77;Jan.59;0;99;02.May;1;0.02;0;
South Sudan;Africa;11223;100.26;82;0.73;16;120;01.Jul;0;0;0;
Lao People's Democratic Republic;Western Pacific;10648;146.35;1772;24.36;207;9;0.12;1;0.01;0;
Burundi;Africa;10198;85.76;1023;08.Jun;0;10;0.08;0;0;0;
Benin;Africa;10183;84;1118;Sep.22;1118;119;0.98;6;0.05;6;
Iceland;Europe;9682;2658.91;556;152.69;104;30;Aug.24;0;0;0;
Gambia;Africa;9318;385.57;398;16.47;123;277;Nov.46;26;01.Aug;6;
Equatorial Guinea;Africa;8972;639.49;21;01.May;0;123;Aug.77;0;0;0;
Jersey;Europe;8917;8272.11;242;224.5;99;74;68.65;1;0.93;0;
Guam;Western Pacific;8750;5184.42;277;164.12;60;144;85.32;1;0.59;1;
Nicaragua;Americas;8496;128.25;303;Apr.57;303;198;Feb.99;1;0.02;1;
Yemen;Eastern Mediterranean;7347;24.63;149;0.5;39;1407;Apr.72;16;0.05;2;
Eritrea;Africa;6609;186.36;20;0.56;6;37;01.Apr;1;0.03;0;
Saint Lucia;Americas;6475;3526.17;562;306.06;109;95;51.74;3;Jan.63;0;
Mauritius;Africa;6460;507.95;1241;97.58;338;22;Jan.73;1;0.08;0;
Sierra Leone;Africa;6343;79.52;25;0.31;1;121;Jan.52;0;0;0;
Isle of Man;Europe;6013;7071.46;426;500.99;62;29;34.1;0;0;0;
Niger;Africa;5734;23.69;37;0.15;10;196;0.81;0;0;0;
Liberia;Africa;5508;108.9;26;0.51;0;245;Apr.84;24;0.47;0;
United States Virgin Islands;Americas;5326;5100.31;293;280.58;31;41;39.26;1;0.96;0;
San Marino;Europe;5244;15451.71;34;100.18;6;90;265.19;0;0;0;
Gibraltar;Europe;5235;15538.27;99;293.85;15;96;284.94;1;Feb.97;1;
Guinea-Bissau;Africa;5206;264.53;342;17.38;83;94;Apr.78;14;0.71;4;
Chad;Africa;4984;30.34;3;0.02;0;174;01.Jun;0;0;0;
Barbados;Americas;4581;1594.08;101;35.15;33;48;16.Jul;0;0;0;
Comoros;Africa;4039;464.47;8;0.92;0;147;16.Sep;0;0;0;
Liechtenstein;Europe;3292;8496.14;60;154.85;0;58;149.69;0;0;0;
Sint Maarten;Americas;3227;7525.3;226;527.03;42;41;95.61;4;Sep.33;1;
Saint Martin;Americas;3092;7998.14;220;569.08;0;33;85.36;0;0;0;
Monaco;Europe;3080;7848.33;59;150.34;6;35;89.19;2;05.Jan;0;
Bermuda;Americas;2698;4332.54;84;134.89;23;33;52.99;0;0;0;
New Zealand;Western Pacific;2580;53.5;32;0.66;10;26;0.54;0;0;0;
Bhutan;South-East Asia;2577;333.98;26;Mar.37;0;3;0.39;1;0.13;0;
Turks and Caicos Islands;Americas;2568;6632.57;45;116.23;0;19;49.07;1;Feb.58;0;
British Virgin Islands;Americas;2561;8469.76;29;95.91;9;37;122.37;0;0;0;
Sao Tome and Principe;Africa;2492;1137.07;16;07.Mar;3;37;16.88;0;0;0;
Saint Vincent and the Grenadines;Americas;2317;2088.52;11;Sep.92;0;12;Oct.82;0;0;0;
Bonaire;Americas;1724;8242.89;25;119.53;1;17;81.28;0;0;0;
Saint Barthélemy;Americas;1532;15498.23;79;799.19;0;1;10.Dec;0;0;0;
Antigua and Barbuda;Americas;1397;1426.54;49;50.04;0;43;43.91;0;0;0;
United Republic of Tanzania;Africa;1367;Feb.29;0;0;0;50;0.08;0;0;0;
Guernsey;Europe;1088;1687.66;76;117.89;3;18;27.92;0;0;0;
Faroe Islands;Europe;993;2032.13;2;04.Sep;1;2;04.Sep;0;0;0;
Dominica;Americas;953;1323.78;541;751.48;10;0;0;0;0;0;
Brunei Darussalam;Western Pacific;852;194.75;412;94.18;65;3;0.69;0;0;0;
Other;Other;764;;0;;0;13;;0;;0;
Saint Kitts and Nevis;Americas;681;1280.27;61;114.68;26;3;May.64;0;0;0;
Cayman Islands;Americas;656;998.17;8;Dec.17;5;2;03.Apr;0;0;0;
Wallis and Futuna;Western Pacific;454;4036.99;0;0;0;7;62.24;0;0;0;
Greenland;Europe;257;452.69;70;123.3;8;0;0;0;0;0;
Northern Mariana Islands (Commonwealth of the);Western Pacific;220;382.23;10;17.37;1;2;Mar.47;0;0;0;
Grenada;Americas;188;167.08;8;07.Nov;0;1;0.89;0;0;0;
Anguilla;Americas;137;913.21;23;153.31;0;0;0;0;0;0;
New Caledonia;Western Pacific;134;46.94;0;0;0;0;0;0;0;0;
Falkland Islands (Malvinas);Americas;64;1837.5;0;0;0;0;0;0;0;0;
Saint Pierre and Miquelon;Americas;30;517.69;0;0;0;0;0;0;0;0;
Holy See;Europe;26;3213.84;0;0;0;0;0;0;0;0;
Montserrat;Americas;23;460.09;1;20;0;1;20;0;0;0;
Sint Eustatius;Americas;23;732.72;1;31.86;0;0;0;0;0;0;
Solomon Islands;Western Pacific;20;Feb.91;0;0;0;0;0;0;0;0;
Saba;Americas;9;465.6;1;51.73;0;0;0;0;0;0;
Marshall Islands;Western Pacific;4;Jun.76;0;0;0;0;0;0;0;0;
Vanuatu;Western Pacific;3;0.98;0;0;0;0;0;0;0;0;
Samoa;Western Pacific;1;0.5;0;0;0;0;0;0;0;0;
American Samoa;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Cook Islands;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Democratic People's Republic of Korea;South-East Asia;0;0;0;0;0;0;0;0;0;0;
Kiribati;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Micronesia (Federated States of);Western Pacific;0;0;0;0;0;0;0;0;0;0;
Nauru;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Niue;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Palau;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Pitcairn Islands;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Saint Helena;Africa;0;0;0;0;0;0;0;0;0;0;
Tokelau;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Tonga;Western Pacific;0;0;0;0;0;0;0;0;0;0;
Turkmenistan;Europe;0;0;0;0;0;0;0;0;0;0;
Tuvalu;Western Pacific;0;0;0;0;0;0;0;0;0;0;
